# Caspase family gene inventory
# Source: caspase_genes_all_species.tsv
# Config: see examples/caspase_in_carp/caspase_config_as_run_2026-06-30.yaml (identical to config/caspase_example.yaml as of that date)
#
# COLUMN GROUPS:
#   Cols 1-16:  Core identity + structure (incl. NCBI gene_biotype,
#               cds_exons = representative-isoform CDS-exon count,
#               transcript_variants = # coding transcripts)
#   Cols 17-18: Annotation confidence (identity)
#   Cols 19-20: Gene model quality (from NCBI annotation flags)
#   Cols 21-23: Assembly artefact flags
#   Cols 24-28: Curation status (fill during manual review)
#
# CDS_EXONS: coding-exon count of the longest isoform (per isoform, not summed across variants)
# CONFIDENCE (identity): high (named, consistent) / medium (LOC or minor identity issue) / low (known confusion locus)
# MODEL STATUS (NCBI flags): ok / pseudogene / partial / low_quality / flagged (exception)
# CURATION: unreviewed / in_progress / reviewed / flagged
#
species	gene_id	ncbi_annotation_name	ncbi_gene_id	chromosome_accession	chromosome_label	subgenome	homeolog_pair	start	end	strand	gene_length_bp	cds_exons	transcript_variants	description	gene_biotype	annotation_confidence	confidence_reasons	model_status	model_quality_notes	on_unplaced_scaffold	possible_haplotig	assembly_artefact_notes	curation_status	proposed_identity	curation_notes	reviewed_by	review_date
Carassius_gibelio	LOC128025366	LOC128025366	128025366	NC_068382.1	A12	A	12	18157499	18167881	-	10383	6	2	caspase-7	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC128027693	LOC128027693	128027693	NC_068384.1	A14	A	14	17563500	17572483	+	8984	6	1	caspase-3	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC128030415	LOC128030415	128030415	NC_068386.1	A16	A	16	5834078	5837521	+	3444	7	1	caspase a	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	casp21	casp21	127941932	NC_068391.1	A21	A	21	4974762	4976827	+	2066	6	1	caspase 21, apoptosis-related cysteine peptidase	protein_coding	high	no specific concerns	ok		no	no		unreviewed				
Carassius_gibelio	LOC127944670	LOC127944670	127944670	NC_068393.1	A23	A	23	15172977	15179360	+	6384	10	2	caspase-9-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC127949347	LOC127949347	127949347	NC_068396.1	B1	B	1	11497263	11504696	+	7434	6	2	caspase-3	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC127949502	LOC127949502	127949502	NC_068396.1	B1	B	1	35226655	35230660	+	4006	7	1	caspase b	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC127949561	LOC127949561	127949561	NC_068396.1	B1	B	1	35244137	35245425	+	1289	2	1	caspase b	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC127952414	LOC127952414	127952414	NC_068398.1	B3	B	3	19652383	19657473	+	5091	8	1	caspase-6	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	casp22	casp22	127957571	NC_068400.1	B5	B	5	39018601	39026881	+	8281	7	2	caspase 22, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Carassius_gibelio	LOC127959693	LOC127959693	127959693	NC_068401.1	B6	B	6	22617737	22624628	+	6892	4	1	caspase-8-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	casp8l1	casp8l1	127959455	NC_068401.1	B6	B	6	22630674	22639041	-	8368	5	2	caspase 8, apoptosis-related cysteine peptidase, like 1	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Carassius_gibelio	casp8	casp8	127959451	NC_068401.1	B6	B	6	22640926	22646351	-	5426	9	2	caspase 8, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Carassius_gibelio	LOC127961949	LOC127961949	127961949	NC_068402.1	B7	B	7	5941837	5946403	-	4567	11	2	caspase a	protein_coding	medium	pair 7: conserved A=casp23/B=caspa divergence (likely subfunctionalization); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	casp10	casp10	127965397	NC_068404.1	B9	B	9	4837599	4851319	-	13721	8	1	caspase 10, apoptosis-related cysteine peptidase	protein_coding	high	casp8/casp10 cross-species annotation inconsistency	ok		no	no		unreviewed				
Carassius_gibelio	LOC127966001	LOC127966001	127966001	NC_068405.1	B10	B	10	27221	33597	+	6377	4	3	caspase-7-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC127966004	LOC127966004	127966004	NC_068405.1	B10	B	10	21093394	21095876	+	2483	4	1	caspase-7-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC127966003	LOC127966003	127966003	NC_068405.1	B10	B	10	21097445	21099606	+	2162	4	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	casp7	casp7	127969455	NC_068407.1	B12	B	12	7866468	7873634	+	7167	7	1	caspase 7, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Carassius_gibelio	LOC127970959	LOC127970959	127970959	NC_068409.1	B14	B	14	11070178	11074799	-	4622	6	1	caspase-7	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	casp2	casp2	127975231	NC_068411.1	B16	B	16	12282248	12294991	+	12744	10	4	caspase 2, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Carassius_gibelio	LOC127975488	LOC127975488	127975488	NC_068411.1	B16	B	16	25953116	25955542	-	2427	7	1	caspase a	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	casp9	casp9	128011490	NC_068418.1	B23	B	23	16813390	16819608	+	6219	10	1	caspase 9, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109096543	LOC109096543	109096543	NC_056572.1	A1	A	1	3919126	3923478	-	4353	6	1	caspase-3-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109062408	LOC109062408	109062408	NC_056572.1	A1	A	1	27949750	27958937	+	9188	8	1	caspase b-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	low_quality	NCBI 'LOW QUALITY PROTEIN' (frameshift/internal-stop correction)	no	no		unreviewed				
Cyprinus_carpio	LOC109062420	LOC109062420	109062420	NC_056574.1	A3	A	3	22183918	22187876	+	3959	8	1	caspase-6-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109056418	LOC109056418	109056418	NC_056577.1	A6	A	6	9368104	9382215	+	14112	16	1	caspase-8-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109053966	LOC109053966	109053966	NC_056577.1	A6	A	6	9384089	9387614	-	3526	4	1	caspase-8-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	casp23	casp23	109094019	NC_056578.1	A7	A	7	11633781	11637502	+	3722	11	2	caspase 23, apoptosis-related cysteine peptidase, transcript variant X1	protein_coding	high	pair 7: conserved A=casp23/B=caspa divergence (likely subfunctionalization)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109064153	LOC109064153	109064153	NC_056580.1	A9	A	9	3340205	3353176	-	12972	10	2	caspase-8-like, transcript variant X3	protein_coding	medium	casp8/casp10 cross-species annotation inconsistency; LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC122146508	LOC122146508	122146508	NC_056581.1	A10	A	10	15916306	15917257	+	952	2	1	caspase-7-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	partial	NCBI partial=true (model incomplete / runs off a contig end)	no	no		unreviewed				
Cyprinus_carpio	LOC109065583	LOC109065583	109065583	NC_056581.1	A10	A	10	15920853	15923194	+	2342	4	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109050440	LOC109050440	109050440	NC_056581.1	A10	A	10	18629055	18631458	-	2404	4	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC122147023	LOC122147023	122147023	NC_056583.1	A12	A	12	15756500	15759650	-	3151	2	1	caspase b-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109099719	LOC109099719	109099719	NC_056583.1	A12	A	12	16586167	16594443	-	8277	7	1	caspase-7-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109089113	LOC109089113	109089113	NC_056585.1	A14	A	14	12355247	12367001	-	11755	7	3	caspase-3-like, transcript variant X1	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109105725	LOC109105725	109105725	NC_056587.1	A16	A	16	6436870	6445514	-	8645	10	5	caspase-2-like, transcript variant X2	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	caspa	caspa	109059688	NC_056587.1	A16	A	16	17422750	17426504	-	3755	7	1	caspase a	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109064749	LOC109064749	109064749	NC_056592.1	A21	A	21	5040519	5043172	+	2654	6	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109103852	LOC109103852	109103852	NC_056594.1	A23	A	23	12694572	12700117	+	5546	10	1	caspase-9-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC122136065	LOC122136065	122136065	NC_056597.1	B1	B	1	10556546	10557467	+	922	2	1	caspase a-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	casp3a	casp3a	109096565	NC_056597.1	B1	B	1	15093127	15099846	-	6720	6	1	caspase 3, apoptosis-related cysteine peptidase a	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109062412	LOC109062412	109062412	NC_056597.1	B1	B	1	34062948	34070281	-	7334	7	1	caspase b-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC122135952	LOC122135952	122135952	NC_056597.1	B1	B	1	34073193	34074501	-	1309	2	1	caspase b-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC122136604	LOC122136604	122136604	NC_056599.1	B3	B	3	38055950	38062742	+	6793	5	2	caspase-6-like, transcript variant X2	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	casp8	casp8	109082887	NC_056602.1	B6	B	6	9005313	9011326	+	6014	9	1	caspase 8, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Cyprinus_carpio	casp8l1	casp8l1	109052822	NC_056602.1	B6	B	6	9017675	9022138	+	4464	5	1	caspase 8, apoptosis-related cysteine peptidase, like 1	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109047269	LOC109047269	109047269	NC_056602.1	B6	B	6	9032174	9035228	-	3055	4	1	caspase-8-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109093960	LOC109093960	109093960	NC_056603.1	B7	B	7	8848648	8853327	-	4680	11	1	caspase a-like	protein_coding	medium	pair 7: conserved A=casp23/B=caspa divergence (likely subfunctionalization); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109097220	LOC109097220	109097220	NC_056605.1	B9	B	9	5122746	5134489	+	11744	10	1	caspase-8-like	protein_coding	medium	casp8/casp10 cross-species annotation inconsistency; LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC122138425	LOC122138425	122138425	NC_056605.1	B9	B	9	5278047	5281334	+	3288	3	1	caspase-8-like	protein_coding	medium	casp8/casp10 cross-species annotation inconsistency; LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC122138630	LOC122138630	122138630	NC_056606.1	B10	B	10	19459058	19461031	+	1974	5	1	caspase-7-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109061445	LOC109061445	109061445	NC_056606.1	B10	B	10	19469288	19471149	+	1862	4	2	caspase-7-like, transcript variant X2	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	casp7	casp7	109099653	NC_056608.1	B12	B	12	16890012	16898941	-	8930	7	3	caspase 7, apoptosis-related cysteine peptidase, transcript variant X1	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109071296	LOC109071296	109071296	NC_056610.1	B14	B	14	9335264	9344442	-	9179	6	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109071297	LOC109071297	109071297	NC_056610.1	B14	B	14	9346841	9352752	-	5912	6	2	caspase-3-like, transcript variant X1	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109068105	LOC109068105	109068105	NC_056610.1	B14	B	14	9358872	9364072	-	5201	5	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109085235	LOC109085235	109085235	NC_056612.1	B16	B	16	11803825	11814387	-	10563	10	5	caspase-2-like, transcript variant X2	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109079016	LOC109079016	109079016	NC_056612.1	B16	B	16	22944157	22947364	-	3208	7	1	caspase a-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109076849	LOC109076849	109076849	NC_056617.1	B21	B	21	5541881	5544311	+	2431	6	1	caspase-7-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109088469	LOC109088469	109088469	NC_056618.1	B22	B	22	17150865	17155673	+	4809	11	1	caspase a-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	LOC109048790	LOC109048790	109048790	NC_056619.1	B23	B	23	15478311	15483658	+	5348	10	1	caspase-9	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Cyprinus_carpio	casp22	casp22	109083181	NW_024879254.1	unplaced	unplaced	5	895352	903745	+	8394	7	1	caspase 22, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		yes	no	gene on unplaced scaffold	unreviewed				
Carassius_auratus	LOC113115174	LOC113115174	113115174	NC_039243.1	chr1	A	1	2954218	2964218	+	10001	7	1	caspase-1-B	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113105596	LOC113105596	113105596	NC_039243.1	chr1	A	1	25295651	25299700	-	4050	8	1	caspase-3	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113045385	LOC113045385	113045385	NC_039245.1	chr3	A	3	6990700	6995372	+	4673	8	1	caspase-6	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113050791	LOC113050791	113050791	NC_039273.1	chr31	A	6	20742152	20745676	+	3525	4	1	caspase-8	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113050793	LOC113050793	113050793	NC_039273.1	chr31	A	6	20748842	20757867	-	9026	9	1	caspase-8-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	casp23	casp23	113052249	NC_039274.1	chr32	A	7	33500758	33504827	-	4070	11	2	caspase 23, apoptosis-related cysteine peptidase	protein_coding	high	pair 7: conserved A=casp23/B=caspa divergence (likely subfunctionalization)	ok		no	no		unreviewed				
Carassius_auratus	LOC113053832	LOC113053832	113053832	NC_039276.1	chr34	A	9	20321025	20322120	+	1096			caspase-8-like	pseudogene	medium	casp8/casp10 cross-species annotation inconsistency; LOC identifier (automated annotation, no curated gene symbol)	pseudogene	NCBI gene_biotype=pseudogene (non-functional copy)	no	no		unreviewed				
Carassius_auratus	LOC113054569	LOC113054569	113054569	NC_039277.1	chr35	A	10	15282801	15289842	+	7042	5	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113054568	LOC113054568	113054568	NC_039277.1	chr35	A	10	15287102	15289556	+	2455	5	2	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113054872	LOC113054872	113054872	NC_039277.1	chr35	A	10	18142658	18150995	-	8338	4	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113076928	LOC113076928	113076928	NW_020525115.1	unplaced	A	12	132869	147718	+	14850	6	2	caspase-7	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		yes	no	gene on unplaced scaffold	unreviewed				
Carassius_auratus	LOC113059546	LOC113059546	113059546	NC_039283.1	chr41	A	16	2079026	2082643	-	3618	7	1	caspase-1-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113060139	LOC113060139	113060139	NC_039283.1	chr41	A	16	13940236	13947548	+	7313	11	1	caspase-2-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	low_quality	NCBI 'LOW QUALITY PROTEIN' (frameshift/internal-stop correction)	no	no		unreviewed				
Carassius_auratus	casp21	casp21	113063759	NC_039288.1	chr46	A	21	16285923	16287965	+	2043	6	1	caspase 21, apoptosis-related cysteine peptidase	protein_coding	high	no specific concerns	ok		no	no		unreviewed				
Carassius_auratus	LOC113065546	LOC113065546	113065546	NC_039290.1	chr48	A	23	3709436	3715604	+	6169	10	2	caspase-9-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	casp3a	casp3a	113044167	NC_039268.1	chr26	B	1	6388159	6395621	+	7463	6	1	caspase 3, apoptosis-related cysteine peptidase a	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Carassius_auratus	LOC113047172	LOC113047172	113047172	NC_039270.1	chr28	B	3	22080847	22085866	-	5020	8	1	caspase-6-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	casp22	casp22	113048839	NC_039272.1	chr30	B	5	2158596	2166870	+	8275	7	1	caspase 22, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Carassius_auratus	LOC113093418	LOC113093418	113093418	NC_039248.1	chr6	B	6	7335200	7341261	+	6062	9	2	caspase-8-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	casp8l1	casp8l1	113093474	NC_039248.1	chr6	B	6	7342451	7350018	+	7568	5	2	caspase 8, apoptosis-related cysteine peptidase, like 1	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Carassius_auratus	LOC113088368	LOC113088368	113088368	NC_039248.1	chr6	B	6	7357876	7361593	-	3718	4	1	caspase-8-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113105593	LOC113105593	113105593	NC_039249.1	chr7	B	7	4712495	4716314	+	3820	11	2	caspase-1-like	protein_coding	medium	pair 7: conserved A=casp23/B=caspa divergence (likely subfunctionalization); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	casp10	casp10	113108941	NC_039251.1	chr9	B	9	27515157	27528646	-	13490	8	1	caspase 10, apoptosis-related cysteine peptidase	protein_coding	high	casp8/casp10 cross-species annotation inconsistency	ok		no	no		unreviewed				
Carassius_auratus	LOC113110248	LOC113110248	113110248	NC_039252.1	chr10	B	10	20302987	20305447	-	2461	4	1	caspase-3	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113110500	LOC113110500	113110500	NC_039252.1	chr10	B	10	20307359	20309474	-	2116	4	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113111581	LOC113111581	113111581	NC_039254.1	chr12	B	12	5033612	5040719	-	7108	7	2	caspase-7-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113113788	LOC113113788	113113788	NC_039256.1	chr14	B	14	15552274	15557019	+	4746	6	2	caspase-7-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113113799	LOC113113799	113113799	NC_039256.1	chr14	B	14	15961452	15966054	-	4603	6	1	caspase-7	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	LOC113115897	LOC113115897	113115897	NC_039258.1	chr16	B	16	5729305	5731728	+	2424	7	1	caspase-1	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_auratus	casp2	casp2	113116229	NC_039258.1	chr16	B	16	14482842	14496238	+	13397	10	3	caspase 2, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
